County,Population,Over.65,Housing.Units,Per.Capita.Income
Oakland,1257584,17.3,544669,44629
Muskegon,173566,17.6,74487,25435
Ottawa,291830,15.5,111978,31872
Bay,103126,21,48366,27469
Cheboygan,25276,28.1,18651,26393
Macomb,873972,17.4,369479,32238
Wayne,1749343,15.8,815510,27282
Washtenaw,367601,14.5,152262,41399
Monroe,150500,18.8,65258,31481
Genesee,405813,18,192902,27295
Ingham,292406,13.9,124349,29380
Grand Traverse,93088,20.8,45119,35405
Marquette,66699,19.6,34974,27979
Houghton,35684,17.9,18946,23421
Mackinac,10799,28.6,11295,28966
Lapeer,87607,18.9,36971,30344
Saginaw,190539,13.0,88036,28030
Eaton,110268,19.1,47801,33427
Kent,656955,14.1,259375,32524